CODIGO,MUNICIPIO
10,AZUA
132,ESTEBANIA
105,GUAYABAL
135,LAS CHARCAS
125,LAS YAYAS DE VIAJAMA
17,PADRE LAS CASAS
106,PERALTA
154,PUEBLO VIEJO
107,SABANA YEGUA
126,TABARA ARRIBA
113,GALVAN
112,LOS RIOS 
22,NEYBA
76,TAMAYO
78,VILLA JARAGUA
18,BARAHONA
19,CABRAL
130,EL PEÑON
21,ENRIQUILLO
131,FUNDACION
167,JAQUIMEYES
160,LA CIENAGA
137,LAS SALINAS
80,PARAISO
111,POLO
79,VICENTE NOBLE
44,DAJABON
151,EL PINO
73,LOMA DE CABRERA
115,PARTIDO
43,RESTAURACION
1,DISTRITO NACIONAL
119,ARENOSO
59,CASTILLO
63,EUGENIO MARIA DE HOSTOS
143,LAS GUARANAS
57,PIMENTEL
56,SAN FRANCISCO DE MACORIS
58,VILLA RIVA
25,EL SEIBO
29,MICHES
15,BANICA
16,COMENDADOR
110,EL LLANO
75,HONDO VALLE
144,JUAN SANTIAGO 
74,PEDRO SANTANA
54,MOCA
149,SAN VICTOR
88,CAYETANO GERMOSEN
61,GASPAR HERNANDEZ
133,JAMAO AL NORTE
100,EL VALLE
27,HATO MAYOR
67,SABANA DE LA MAR
55,SALCEDO
64,TENARES
51,VILLA TAPIA
128,CRISTOBAL
20,DUVERGE
77,JIMANI
70,LA DESCUBIERTA
114,MELLA
99,POSTRER RIO
28,HIGUEY
85,SAN RAFAEL DEL YUMA
103,GUAYMATE
26,LA ROMANA
295,VILLA HERMOSA
53,CONSTANZA
50,JARABACOA
122,JIMA ABAJO
47,LA VEGA
60,CABRERA
136,EL FACTOR
71,NAGUA
81,RIO SAN JUAN
101,CASTAÑUELAS
45,GUAYUBIN
117,LAS MATAS DE SANTA CRUZ
41,SAN FERNANDO DE MONTECRISTI
86,PEPILLO SALCEDO
72,VILLA VASQUEZ
4,BAYAGUANA
8,MONTE PLATA
153,PERALVILLO
90,SABANA GRANDE DE BOYA
5,YAMASA
48,BONAO
118,MAIMON
123,PIEDRA BLANCA
91,OVIEDO
69,PEDERNALES
3,BANI
156,MATANZAS
84,NIZAO
39,ALTAMIRA
120,GUANANICO
38,IMBERT
102,LOS HIDALGOS
40,LUPERON
37,PUERTO PLATA
97,SOSUA
121,VILLA ISABELA
175,VILLA MONTELLANO
134,LAS TERRENAS
65,SAMANA
66,SANCHEZ
93,BAJOS DE HAINA
104,CAMBITA GARABITOS
139,LOS CACAOS
83,SABANA GRANDE DE PALENQUE
2,SAN CRISTOBAL
140,SAN GREGORIO DE NIGUA
68,VILLA ALTAGRACIA
82,YAGUATE
152,RANCHO ARRIBA
150,SABANA LARGA
13,SAN JOSE DE OCOA
109,BOHECHIO
14,EL CERCADO
129,JUAN DE HERRERA
11,LAS MATAS DE FARFAN
12,SAN JUAN DE LA MAGUANA
108,VALLEJUELO
138,CONSUELO
364,GUAYACANES
24,LOS LLANOS
146,QUISQUEYA
30,RAMON SANTANA
23,SAN PEDRO DE MACORIS
52,CEVICOS
49,COTUI
87,FANTINO
155,VILLA LA MATA
42,MONCION
46,SAN IGNACIO DE SABANETA
116,VILLA LOS ALMACIGOS
161,BAITOA
35,JANICO
95,LICEY AL MEDIO
350,PUÑAL
148,SABANA IGLESIA
36,SAN JOSE DE LAS MATAS
31,SANTIAGO DE LOS CABALLERO
32,TAMBORIL
96,VILLA BISONO -NAVARRETE-
94,VILLA GONZALEZ
226,BOCA CHICA
229,LOS ALCARRIZOS
228,PEDRO BRAND
227,SAN ANTONIO DE GUERRA
223,SANTO DOMINGO ESTE
225,SANTO DOMINGO NORTE
224,SANTO DOMINGO OESTE
33,ESPERANZA
92,LAGUNA SALADA
34,MAO
3220,Santa cruz
2770,Yerba buena
6500,Las Galeras
